"marsh","NY1","50","N","N","cranberries, no grass","mµ∞éÛ","MS",-0-,1.
"marsh","VA37","183","N","N",-0-,"mµ∫{∞}Û","MS",-0-,653.
"marsh","VA38","185","N","N",-0-,"m∂{∂´º}Û","MS",-0-,654.
"marsh","VA39!","186!","N","N",-0-,"mﬁº∂´Û","MS",-0-,655.
"marsh","VA40A","187","N","N","water on it, brackish, rushes","mµó´æ¥Û","MS",-0-,656.
"marsh","VA40A","187","N","N","water on it, brackish, rushes","m·∫{±øΩ}Û","MS",-0-,656.
"marsh","VA40B","188","N","N",-0-,"mµ´æ∫∞éóÛ","MS",-0-,657.
"marsh","VA41A","191","N","N",-0-,"m·æ∫Û","MS",-0-,658.
"slash","VA41B","192","N","N","grassy, on stream; same as `marsh'","sl·{±øΩ}Û","MS",-0-,659.
"marsh","VA41B","192","N","N","grassy, on stream; same as `slash'","m∂´∫{∞}Û","MS",-0-,659.
"marsh","VA42A","193(*)(**)","N","N","on river, grass","m·{±ø}Û","MS",-0-,660.
"marsh","VA42B","194","N","N",-0-,"mﬁº:Û","MS",-0-,661.
"marsh","VA43N","N195","N","N",-0-,"m·´∫{∞´º}Û","MS",-0-,662.
"NR","VA43A","195",-0-,"N",-0-,-0-,"MS",-0-,663.
"marsh","VA43B","196","N","N",-0-,"mﬁ:{∞}Û","MS",-0-,664.
"NR","VA44A","199",-0-,"N",-0-,-0-,"MS",-0-,665.
"marsh","VA44B","200","N","N","rare","mµ∫Û","MS",-0-,666.
"NR","VA46N","N207",-0-,"N",-0-,-0-,"MS",-0-,669.
"marshy place","VA46A","207","O","N",-0-,"m·Û±ø$ple∫s","MS",-0-,670.
"marsh","VA46B!","208!","N","N",-0-,"mµæ:{∞´}Û","MS",-0-,671.
"marsh","VA48A","213(*)","N","N",-0-,"m·Û","MS",-0-,673.
"marsh","VA48B","214","N","N",-0-,"mﬁº∫{∞}Û","MS",-0-,674.
"marshy land","VA49B","216","O","N",-0-,"mﬁæ∫Û±ø$l·∫{∞}n{d}","MS",-0-,676.
"marsh","VA50A","217","N","N",-0-,"mµ∫Û","MS",-0-,677.
"marsh","VA50B","218","N","N","grass","mµ´{∞}Û","MS",-0-,678.
"NA","VA51B","220(*)",-0-,"N",-0-,-0-,"MS",-0-,680.
"marsh","VA51C",-0-,"N","N","rare","m·{±øΩ}Û","MS",-0-,681.
"NR","VA52A","224",-0-,"N",-0-,-0-,"MS",-0-,682.
"NR","VA52B","225",-0-,"N",-0-,-0-,"MS",-0-,683.
"marsh","VA52C!","226!","N","N",-0-,"mﬁº∫∞éÛ","MS",-0-,684.
"NR","VA53A","227",-0-,"N",-0-,-0-,"MS",-0-,685.
"NR","VA53B","228",-0-,"N",-0-,-0-,"MS",-0-,686.
"NR","VA54B","230",-0-,"N",-0-,-0-,"MS",-0-,688.
"NR","VA55B","234(*)",-0-,"N",-0-,-0-,"MS",-0-,690.
"NR","VA56A","237",-0-,"N",-0-,-0-,"MS",-0-,691.
"NR","VA56B","238",-0-,"N",-0-,-0-,"MS",-0-,692.
"NR","VA57A","239",-0-,"N",-0-,-0-,"MS",-0-,693.
"NR","VA57B","240",-0-,"N",-0-,-0-,"MS",-0-,694.
"NR","VA59A","242",-0-,"N",-0-,-0-,"MS",-0-,697.
"marsh","VA59B!","243!","N","N",-0-,"mﬁºﬁ´ºÛ","MS",-0-,698.
"NA","VA60","244(*)",-0-,"N",-0-,-0-,"MS",-0-,699.
"NA","VA61A","245(*)",-0-,"N",-0-,-0-,"MS",-0-,700.
"NR","VA62A","247(*)",-0-,"N",-0-,-0-,"MS",-0-,703.
"NR","VA62B","248",-0-,"N",-0-,-0-,"MS",-0-,704.
"NR","VA63A","251",-0-,"N",-0-,-0-,"MS",-0-,705.
"NR","VA63B","252",-0-,"N",-0-,-0-,"MS",-0-,706.
"NR","VA64A","255",-0-,"N",-0-,-0-,"MS",-0-,707.
"NR","VA66B","262",-0-,"N",-0-,-0-,"MS",-0-,713.
"NR","VA67A","267",-0-,"N",-0-,-0-,"MS",-0-,714.
"NR","VA67B","268",-0-,"N",-0-,-0-,"MS",-0-,715.
"marsh","VA69A","273","N","N","grass","m·{±øΩ}Û","MS",-0-,718.
"NR","VA69B","274",-0-,"N",-0-,-0-,"MS",-0-,719.
"NR","VA70B","276",-0-,"N",-0-,-0-,"MS",-0-,721.
"NR","VA71A","285",-0-,"N",-0-,-0-,"MS",-0-,722.
"NR","VA71B","286",-0-,"N",-0-,-0-,"MS",-0-,723.
"NR","VA72A","287",-0-,"N",-0-,-0-,"MS",-0-,724.
"NR","VA72B","288",-0-,"N",-0-,-0-,"MS",-0-,725.
"NR","VA73","291",-0-,"N",-0-,-0-,"MS",-0-,726.
"NR","VA74A","293",-0-,"N",-0-,-0-,"MS",-0-,727.
"marsh","VA74B!","294!","N","N","open grass","mµæﬁ´ºÛ","MS",-0-,728.
"NR","VA75A","297",-0-,"N",-0-,-0-,"MS",-0-,729.
"NR","VA75B","298",-0-,"N",-0-,-0-,"MS",-0-,730.
"marsh","NC1","303","N","N",-0-,"mµ´æ¥Û","MS",-0-,731.
"marsh","NC1","303","N","N","[•Ωº∫]: allophone of /·Ωæ∫/","m•Ωº∫Û","MS",-0-,731.
"marsh","NC1","303","N","N","[a´æ∫]: allophone of /·Ωæ∫/","ma´æ∫Û","MS",-0-,731.
"marsh","NC2A","301","N","Y","""sedge¢","mﬁº{∞}rÛ","MS","AUX",732.
"sedge","NC2A","301","N","Y",-0-,"seΩ±ød˙","MS","AUX/INA",732.
"marsh","NC2A","301","N","Y",-0-,"m·æ∫{±øΩ}Û","MS","AUX/SUG/OLD",732.
"marsh","NC2B","304","N","N","seashore","m∂´∫¥Û","MS",-0-,733.
"marsh","NC3A","305","N","N",-0-,"m·{±ø}Û","MS",-0-,734.
"marsh","NC3B","306","N","N",-0-,"m∂´º¥Û","MS",-0-,735.
"marsh","NC4A","307","N","N",-0-,"mﬁº∫{∞}Û","MS",-0-,736.
"marsh","NC4B","308","N","N",-0-,"mµæ:Û","MS",-0-,737.
"marsh","NC5A","309","N","N",-0-,"mµ∫∞éÛ","MS",-0-,738.
"marsh","NC5B","310","N","N",-0-,"mµæ∫∞éÛ","MS",-0-,739.
"marsh","NC6!","311!","N","N",-0-,"mﬁóº∫{∞}Û","MS",-0-,740.
"marsh","NC7B","316","N","N",-0-,"m∂∫{∞é}Û","MS",-0-,742.
"marsh","NC8A","317","N","Y",-0-,"mµ´æ∫¥Û","MS","DBT",744.
"marsh","NC8B","318(*)","N","N",-0-,"mµ´æ{∞é}Û","MS",-0-,745.
"marsh","NC8B","318(*)","N","Y","cf. Hanover County, VA (VA 11)","mµ´æ{∞}Û","MS","AUX",745.
"marsh","NC9A","319","N","N","[•Ωº∫{±ø}]: allophone of /·/","m•Ωº∫{±ø}Û","MS",-0-,746.
"marsh","NC9B","320","N","N",-0-,"mﬁóº∫{∞é}Û","MS",-0-,747.
"marsh","NC9B","320","N","Y",-0-,"m·∫{±ø}Û","MS","OLD",747.
"marsh","NC10A","321","N","N",-0-,"mµæ¥Û","MS",-0-,748.
"marsh","NC10A","321","N","N",-0-,"mﬁº¥Û","MS",-0-,748.
"marsh","NC10B","323","N","N",-0-,"mµ∫¥Û","MS",-0-,749.
"marsh","NC10B","323","N","Y",-0-,"m•Ωº∫{±ø´}Û","MS","OLD",749.
"marsh","NC10C","322","N","N",-0-,"mµ∫¥Û","MS",-0-,750.
"marsh","NC11A","325","N","N",-0-,"mﬁ∫¥Û","MS",-0-,751.
"marsh","NC11A","325","N","Y",-0-,"m·Ωæ∫{∞}Û","MS","OLD",751.
"marsh","NC11B","326","N","N",-0-,"mﬁ´º∫¥Û","MS",-0-,752.
"marsh","NC12A","327(*)","N","N",-0-,"mµ´æ¥Û","MS",-0-,753.
"marsh","NC12A","327(*)","N","N",-0-,"m·∫{∞}Û","MS",-0-,753.
"marsh","NC12B","328","N","N",-0-,"mﬁó:{∞é}Û","MS",-0-,754.
"marsh","NC13A","329","N","N",-0-,"mµ´æ¥Û","MS",-0-,755.
"marsh","NC13A","329","N","Y",-0-,"m·{±ø}Û","MS","OLD",755.
"marsh","NC13B","330(*)","N","N",-0-,"mµæ∫¥Û","MS",-0-,756.
"marsh","NC13B","330(*)","N","Y",-0-,"mµóæ∫∞éÛ","MS","AUX",756.
"marsh","NC14N","N331","N","N","salt","m·Û","MS",-0-,757.
"marsh","NC14A","331","N","N",-0-,"mﬁóº∫∞éÛ","MS",-0-,758.
"marsh","NC14A","331","N","Y",-0-,"m·Ωæ∫{∞´º}Û","MS","SUG/OLD",758.
"marsh","NC14B","332","N","N",-0-,"mµæ∫∞éÛ","MS",-0-,759.
"marsh","NC14B","332","N","Y","uneducated","m·Ω{∞}Û","MS","HRD",759.
"marsh","NC14C!","333!","N","N","very wet","mﬁº∫{∞}Û","MS",-0-,760.
"marsh place","NC15A","335(*)","O","N",-0-,"Âm·{∞´º}Û$ıpl≤´js","MS",-0-,761.
"marsh","NC15B","336","N","Y",-0-,"m·∫{∞´º}Û","MS","OLD",762.
"marsh","NC15C",-0-,"N","N",-0-,"m·{±øΩ}Û","MS",-0-,763.
"marsh","NC16A","339(*)","N","Y",-0-,"m·∫{∞´º}Û","MS","AUX",764.
"marsh","NC16B","340","N","N",-0-,"m·{∞´º}Û","MS",-0-,765.
"NR","NC17A","337",-0-,"N",-0-,-0-,"MS",-0-,766.
"marsh","NC17B","338","N","N",-0-,"mﬁº∫{∞é´º}Û","MS",-0-,767.
"marsh","NC17B","338","N","Y","often","m·Ωæ{∞´º}Û","MS","HRD",767.
"NR","NC18A","341",-0-,"N",-0-,-0-,"MS",-0-,768.
"marsh","NC18B","342","N","N","boggier than swamp","mﬁº∫{∞}Û","MS",-0-,769.
"marsh","NC19A","343","N","N","rare","m·{∞}Û","MS",-0-,770.
"marsh","NC19B","344","N","N",-0-,"m∂∫∞éÛ","MS",-0-,771.
"marsh","NC20A","345","N","N","on the salt","mµ¥Û","MS",-0-,772.
"on the salt","NC20A","345","Q","Y",-0-,"∑Ω∫n${d}±ø›$s∂´∫{∞}Ït","MS","INA",772.
"marsh","NC20A","345","N","Y","on the salt","m·{±øΩ}Û","MS","SUG/OLD",772.
"marsh","NC20B","346a","N","N",-0-,"mµº∫¥Û","MS",-0-,773.
"marsh","NC20B","346a","N","N",-0-,"m·∫{±øΩ}Û","MS",-0-,773.
"marsh","NC20C","346b","N","N",-0-,"mﬁó´º∫¥éÛ","MS",-0-,774.
"marsh","NC20C","346b","N","Y","father said","m·Ωæ∫{±øΩ}Û","MS","OLD/HRD",774.
"marsh","NC21A","347","N","N",-0-,"m·´º∫Û","MS",-0-,775.
"marsh","NC21B","348","N","N",-0-,"mµæ∫¥Û","MS",-0-,776.
"NR","NC22A","349",-0-,"N",-0-,-0-,"MS",-0-,777.
"marsh","NC22B","349b","N","N",-0-,"mµ∫∞éÛ","MS",-0-,778.
"marsh","NC23A","351a","N","N",-0-,"mµ´æ{∞é}Û","MS",-0-,779.
"marsh","NC23B","351b(*)","N","N",-0-,"mﬁº∞éóÛ","MS",-0-,780.
"marsh","NC23B","351b(*)","N","Y","salt","mﬁº∫∞éÛ","MS","AUX",780.
"marsh","NC23C!","351c!","N","N",-0-,"mµæ{ﬁº}{∞}Û","MS",-0-,781.
"marsh","NC23D!","351d!","N","N",-0-,"mﬁ{ﬁó}{∞}Û","MS",-0-,782.
"marsh","NC24N","N352","N","N",-0-,"mµæ∫Û","MS",-0-,783.
"marsh","NC24A","352a","N","N",-0-,"mﬁº∫∞éÛ","MS",-0-,784.
"marsh","NC24B","352b","N","N",-0-,"mﬁº∫¥Û","MS",-0-,785.
"NR","NC25N","N353",-0-,"N",-0-,-0-,"MS",-0-,786.
"marsh","NC25A","353","N","N","boggier than swamp","m·›ΩÛ","MS",-0-,787.
"marsh","NC25B","354","N","N","wetter than swamp","m·∫Û","MS",-0-,788.
"NR","NC26A","355a",-0-,"N",-0-,-0-,"MS",-0-,789.
"NR","NC26B","355b",-0-,"N",-0-,-0-,"MS",-0-,790.
"marsh","NC26C!","356!","N","N",-0-,"m∂î∫{∞}Û","MS",-0-,791.
"NR","NC27A","357",-0-,"N",-0-,-0-,"MS",-0-,792.
"marsh","NC27B","258","N","N",-0-,"mﬁº∫¥Û","MS",-0-,793.
"NR","NC28A","361",-0-,"N",-0-,-0-,"MS",-0-,794.
"NR","NC28B","361b",-0-,"N",-0-,-0-,"MS",-0-,795.
"marsh","NC28C","362","N","N","no trees","mﬁº¥Û","MS",-0-,796.
"NR","NC29A","363(*)",-0-,"N",-0-,-0-,"MS",-0-,797.
"marsh","NC29B","364","N","N","rare","mµ∫¥Û","MS",-0-,798.
"marsh","NC30A","365","N","N",-0-,"m·{±øΩ}Û","MS",-0-,799.
"marsh","NC30B","366","N","N",-0-,"mµæ∫{∞é}Û","MS",-0-,800.
"marsh swamps","NC31A","367","O","N",-0-,"ım·{±ø}Û$Âsw∑{∑´}mps","MS",-0-,801.
"marsh","NC31B","368","N","Y"," rare","mµº∫{∞}Û","MS","SUG",802.
"NR","NC32A","369",-0-,"N",-0-,-0-,"MS",-0-,803.
"marsh","NC32B!","370!","N","N",-0-,"mﬁº∫{∞}Û","MS",-0-,804.
"marsh","NC33A","373","N","N",-0-,"m·∫Û","MS",-0-,805.
"marsh","NC33B","374","N","N",-0-,"m·{±øΩ}Û","MS",-0-,806.
"marsh","NC34A","375","N","N",-0-,"m·Ω{∞}Û","MS",-0-,807.
"marsh","NC34B","376","N","N",-0-,"m·{∞}Û","MS",-0-,808.
"marsh","NC35A","377","N","N","rare","mµ∫Û","MS",-0-,809.
"marshy place","NC35A","377","O","Y","rare","Âm·{±øΩ}Û±ø$ple{±ø}s","MS","SUG",809.
"NR","NC35B","378",-0-,"N",-0-,-0-,"MS",-0-,810.
"NR","NC36N","N381",-0-,"N",-0-,-0-,"MS",-0-,811.
"NR","NC36A","381",-0-,"N",-0-,-0-,"MS",-0-,812.
"NR","NC36B","382",-0-,"N",-0-,-0-,"MS",-0-,813.
"marsh","NC37A","383","N","N",-0-,"m·∫{±øΩ}Û","MS","CNV",814.
"marsh","NC37B","384","N","N","mucky","m·∫{±ø}Û","MS",-0-,815.
"marsh","NC38N","N385","N","N","open","m·Û","MS",-0-,816.
"marsh","NC38A","385","N","N",-0-,"m·{±øΩ}Û","MS",-0-,817.
"marsh","NC38B","386","N","N",-0-,"mµ´æ∫∞éÛ","MS",-0-,818.
"marsh","NC39A","389","N","N",-0-,"m·∫{±øΩ}Û","MS",-0-,819.
"marsh","NC39B!","390!","N","N",-0-,"mµæ∫Û","MS",-0-,820.
"marsh","NC40B","392","N","N",-0-,"mµ∫{∞é}Û","MS",-0-,822.
"marsh","NC41!","393!","N","N",-0-,"mµæﬁºÛ","MS",-0-,823.
"marsh","NC42A","403","N","N",-0-,"mµ{∞é}Û","MS",-0-,824.
"marsh","NC42B","404(*)","N","N",-0-,"mµ∫∞éÛ","MS",-0-,825.
"marsh","NC43A","397","N","N",-0-,"m·∫{∞´}Û","MS",-0-,826.
"marsh","NC43B","398","N","N",-0-,"mµ{∞}Û","MS",-0-,827.
"NR","NC44","410(*)",-0-,"N",-0-,-0-,"MS",-0-,828.
"NR","NC45A","409(*)",-0-,"N",-0-,-0-,"MS",-0-,829.
"marsh","NC45B",-0-,"N","Y",-0-,"mµ∫Û","MS","SUG",830.
"NR","NC46A","411",-0-,"N",-0-,-0-,"MS",-0-,831.
"marsh","NC46B","412","N","N",-0-,"mµ∫∞éÛ","MS",-0-,832.
"marsh","NC46C!","412b!","N","N",-0-,"mﬁóº∫{∞}Û","MS",-0-,833.
"NR","NC47","413",-0-,"N",-0-,-0-,"MS",-0-,834.
"NR","NC48","418",-0-,"N",-0-,-0-,"MS",-0-,835.
"NR","NC49","421",-0-,"N",-0-,-0-,"MS",-0-,836.
"NR","NC50A","422",-0-,"N",-0-,-0-,"MS",-0-,837.
"marshes","NC50B!","423!","N","N",-0-,"mµóæ∫∞éÛ±øΩz","MS",-0-,838.
"marsh","NC51A","427","N","N",-0-,"mµ∞éÛ","MS",-0-,839.
"NR","NC51B","428",-0-,"N",-0-,-0-,"MS",-0-,840.
"NR","NC52N","N429",-0-,"N",-0-,-0-,"MS",-0-,841.
"NR","NC52A","429",-0-,"N",-0-,-0-,"MS",-0-,842.
"marsh","NC52B","430","N","N",-0-,"mﬁ∫{∞}Û","MS",-0-,843.
"NR","NC53A","431",-0-,"N",-0-,-0-,"MS",-0-,844.
"NR","NC53B","432",-0-,"N",-0-,-0-,"MS",-0-,845.
"NR","NC54A","433",-0-,"N",-0-,-0-,"MS",-0-,846.
"NR","NC54B","434",-0-,"N",-0-,-0-,"MS",-0-,847.
"NR","NC55","435",-0-,"N",-0-,-0-,"MS",-0-,848.
"NR","NC56A","436",-0-,"N",-0-,-0-,"MS",-0-,849.
"marsh","NC56B!","437!","N","N",-0-,"mµæ{ﬁº}{∞}Û","MS",-0-,850.
"NR","NC57A","438a",-0-,"N",-0-,-0-,"MS",-0-,851.
"NR","NC57B","438b",-0-,"N",-0-,-0-,"MS",-0-,852.
"marsh","NC58A","439","N","N",-0-,"m·{±øΩ}Û","MS",-0-,853.
"NR","NC58B","440",-0-,"N",-0-,-0-,"MS",-0-,854.
"NR","NC59","441(*)",-0-,"N",-0-,-0-,"MS",-0-,855.
"marsh land","NC60","442","O","N",-0-,"mµæ∫{∞é}Û$l·∫{∞}nd","MS",-0-,856.
"NR","NC61A","443",-0-,"N",-0-,-0-,"MS",-0-,857.
"NR","NC61B","444",-0-,"N",-0-,-0-,"MS",-0-,858.
"marsh","NC62B","448","N","N",-0-,"mµ´¥Û","MS",-0-,860.
"marsh","NC62B","448","N","Y",-0-,"m·{∞´º}Û","MS","OLD",860.
"NR","NC63A","449",-0-,"N",-0-,-0-,"MS",-0-,861.
"NR","NC63B","450",-0-,"N",-0-,-0-,"MS",-0-,862.
"NR","NC64A","453",-0-,"N",-0-,-0-,"MS",-0-,863.
"NR","NC64B","454",-0-,"N",-0-,-0-,"MS",-0-,864.
"NR","NC65A","461",-0-,"N",-0-,-0-,"MS",-0-,865.
"NR","NC65B","462",-0-,"N",-0-,-0-,"MS",-0-,866.
"NR","NC66A","465",-0-,"N",-0-,-0-,"MS",-0-,867.
"NR","NC66B","466",-0-,"N",-0-,-0-,"MS",-0-,868.
"NR","NC67A","469",-0-,"N",-0-,-0-,"MS",-0-,869.
"marsh","NC67B","470","N","N","especially adjectival use","m·{±ø}Û","MS",-0-,870.
"NR","NC68A","473",-0-,"N",-0-,-0-,"MS",-0-,871.
"NR","NC68B","474",-0-,"N",-0-,-0-,"MS",-0-,872.
"marsh","NC69A","477","N","N",-0-,"m¥Ω¥é´Û","MS",-0-,873.
"marsh","NC69B","478","N","N","rare","mµ∫∞éÛ","MS",-0-,874.
"NR","NC70A","479",-0-,"N",-0-,-0-,"MS",-0-,875.
"marsh","NC70B","480","N","N","none here","mµ´æ¥Û","MS",-0-,876.
"NR","NC71A","481",-0-,"N",-0-,-0-,"MS",-0-,877.
"marsh","NC71B","482","N","N","rare","mµ´¥Û","MS",-0-,878.
"marsh","NC71C!","483!","N","N",-0-,"mµ´æ¥Û","MS",-0-,879.
"NR","NC72A","487",-0-,"N",-0-,-0-,"MS",-0-,880.
"NR","NC72B","488",-0-,"N",-0-,-0-,"MS",-0-,881.
"NR","NC74A","493",-0-,"N",-0-,-0-,"MS",-0-,884.
"NR","NC74B","494",-0-,"N",-0-,-0-,"MS",-0-,885.
"NR","NC75A","495",-0-,"N",-0-,-0-,"MS",-0-,886.
"NR","NC75B","496",-0-,"N",-0-,-0-,"MS",-0-,887.
"marsh","SC1A","203.1","N","N",-0-,"mµ∫{∞é}Û","MS",-0-,888.
"marsh","SC1A","203.1","N","Y",-0-,"m·Û","MS","OLD",888.
"marshes","SC1B","203.2","N","N","on the sea","mﬁ´º{∞é}Û±øz","MS",-0-,889.
"NR","SC2A","204.1(*)",-0-,"N",-0-,-0-,"MS",-0-,890.
"NR","SC2B","204.2",-0-,"N",-0-,-0-,"MS",-0-,891.
"NR","SC2C",-0-,-0-,"N",-0-,-0-,"MS",-0-,892.
"NR","SC3A","205.1",-0-,"N",-0-,-0-,"MS",-0-,893.
"NR","SC3B","205.2",-0-,"N",-0-,-0-,"MS",-0-,894.
"marsh","SC3C!","205.3!","N","N","on the coast","mﬁ∫{∞}Û","MS",-0-,895.
"marsh","SC4A","206.1","N","N","further down (th swamp); open swamp (sw. has trees","mµ∫{∞}Û","MS",-0-,896.
"marsh land","SC4A","206.1","O","N","further down (th swamp); open swamp (sw. has trees","Âmµ∫∞é´æÛ$ıl·∫{∞}n","MS",-0-,896.
"marsh","SC4B","206.2","N","N","usually salt","mµ∫∞éÛ","MS",-0-,897.
"marsh","SC4B","206.2","N","N","usually salt","mµ∫∞Û","MS",-0-,897.
"marsh","SC4C","206.3","N","N","on coast","mµæ∫∞éÛ","MS",-0-,898.
"marshes","SC5A","207.1","N","N","mostly salty","mﬁº∫∞Û±øºz","MS",-0-,899.
"marsh","SC5B","207.2","N","N","always salt water","mµæ∫{∞}Û","MS",-0-,900.
"NR","SC5C","207.2A",-0-,"N",-0-,-0-,"MS",-0-,901.
"marsh land","SC5D!","207.3!","O","Y","down by ocean","Âmµæ∫{∞}Û$ıl·∫{∞}nd","MS","AUX",902.
"marsh","SC6N","N208","N","N",-0-,"mµ∫∞Û","MS",-0-,903.
"salt marsh","SC6N","N208","O","N",-0-,"Âs∑º∫{∞}lt$ımµ∫{∞}Û","MS",-0-,903.
"hard marsh","SC6N","N208","O","N",-0-,"Âhµ∫∞d$ımµ∫∞Û","MS",-0-,903.
"marsh","SC6A","208.1","N","N",-0-,"m∂º¥Û","MS",-0-,904.
"marsh","SC6A","208.1","N","Y",-0-,"m·{±ø}Û","MS","SUG/HRD",904.
"NR","SC6B","208.2(*)",-0-,"N",-0-,-0-,"MS",-0-,905.
"marsh land","SC6C!","208.3!","O","N","no trees","Âmµæ∫∞´Û$ıl·∫{∞}n","MS",-0-,906.
"salt marsh","SC6C!","208.3!","O","N","round-stalked grass","Âs∑∫{∞}lt$ımµæ∫±øΩÛ","MS",-0-,906.
"salt marsh","SC6C!","208.3!","O","N","round-stalked grass","Âs∑º{∞}lt$ımµæ∫∞´Û","MS",-0-,906.
"salt marsh","SC6D",-0-,-0-,"N",-0-,"Âs∑º∫{∞}lt$ımµ∫{∞}Û","MS",-0-,907.
"creek marsh","SC6D",-0-,-0-,"N",-0-,"Âk`Úái∫{j}k$ımµ∫{∞}Û","MS",-0-,907.
"marsh land","SC7N","N209","O","N",-0-,"Âmaæ{∞}Û$ıl·∫{∞}n","MS",-0-,908.
"mud land","SC7N","N209","O","N",-0-,"Âm∏óæ{∞}d$l·∫{∞}n","MS",-0-,908.
"salt water marsh","SC7A","209.1","O","N",-0-,"Âs∑º∫{∞}lt$ıw∑º{∞}Ò∞$Âmµ∫∞Û","MS",-0-,909.
"marsh","SC7A","209.1","N","N",-0-,"mµ∫∞Û","MS",-0-,909.
"marsh","SC7B","209.2","N","N",-0-,"mµæ∫∞Û","MS",-0-,910.
"marshy place","SC7B","209.2","O","N",-0-,"Âmµ∫∞Û±ø´º$ıp`≈èe∫{±øΩ}s","MS","CNV",910.
"marsh grass","SC7B","209.2","O","Y","grass used for baskets and for packing between","Âmµ∫∞Û$ıgÚá·{∞}s","MS","INA/CNV/RN1",910.
"brackish water marsh","SC7B","209.2","O","N",-0-,"ÂbÚ·{∞}k±øºÛ$ıw∑Ωº∫{∞}tê∞$Âmµæ∫{∞}Û","MS",-0-,910.
-0-,"SC7B","209.2",-0-,-0-,"staves of molasses barrels",-0-,"MS","RN2",910.
"marsh land","SC7C!","209.3!","O","N",-0-,"Âmµæ∫{∞}Û$ıl·Ω∫{∞}n","MS",-0-,911.
"marsh","SC7D!","209.4!","N","N",-0-,"mµ∫∞Û","MS",-0-,912.
"salt marsh","SC7D!","209.4!","O","N",-0-,"Âs∑º∫{∞}lt$ımµ∫∞Û","MS",-0-,912.
"marsh land","SC7D!","209.4!","O","N",-0-,"Âmµæ∫∞Û$ıl·∫{∞}nd","MS",-0-,912.
"marsh","SC8A","210.1","N","N","salt","mµæ∫∞Û","MS",-0-,913.
"marsh","SC8B","210.2","N","N","fresh or salt","mµæ∫∞Û","MS",-0-,914.
"marshy places","SC8C","210.3","O","N",-0-,"Âmµæ∫{∞}Û±ø´º$ıp≈èe´∫s±øºz","MS",-0-,915.
"marshy land","SC8C","210.3","O","N","on coast","Âmµæ∫¥æÛ±ø´º$ıla´∫{∞}n","MS",-0-,915.
"marsh land","SC9A","211.1","O","N","covered at high tide","Âb˛µæ∫¥Û$ıl·Ω∫{∞}n","MS","SIC",916.
"NR","SC9B","211.2",-0-,"N",-0-,-0-,"MS",-0-,917.
"salt marsh","SC9C!","211.3!","O","N",-0-,"Âs∑Ωº∫{∞}lt$ımµæ∫∞Û","MS",-0-,918.
"marsh","SC9C!","211.3!","N","N","fresh or salt","mµæ∫{∞}Û","MS",-0-,918.
"salt marsh","SC9D!","211.4!","O","N",-0-,"Âs∑ó´∫{∞}lt$ımµæ∫∞Û","MS",-0-,919.
"marsh","SC9D!","211.4!","N","N",-0-,"mﬁ∫∞Û","MS","CNV",919.
"marsh","SC10A","212.1","N","N",-0-,"mﬁ∫{∞}Û","MS",-0-,920.
"marsh","SC10A","212.1","N","N",-0-,"mﬁé∫{∞é}Û","MS",-0-,920.
"marshes is salt water","SC10A","212.1","S","N",-0-,"mﬁº∫∞Û±øºz$±øºz$Âs∑º∫{∞}lt$ıw∑º∫{∞}tê∞","MS",-0-,920.
"marsh","SC10B!","212.2!","N","N","salt mud","mµæ∫∞Û","MS","CNV",921.
"salt marsh","SC10B!","212.2!","O","N",-0-,"Âs∑∫{∞}lt$ımµ∫∞Û","MS",-0-,921.
"salt mud","SC10B!","212.2!","O","Y",-0-,"Âs∑´∫{∞}lt$ım∏óºd","MS","INA/CNV",921.
"marsh","SC10C!","212.3!","N","N","always salt water","mµæ∫{∞}Û","MS",-0-,922.
"marsh","SC11N","N213","N","N",-0-,"mµæ∫{∞}Ûó","MS",-0-,923.
"marsh","SC11M!","2n213!","N","N","usually salt water","mﬁ∫{∞´}Û","MS",-0-,924.
"salt marsh","SC11M!","2n213!","O","Y",-0-,"Âs∑Ω∫{∞}l$ımﬁ∫{∞}Û","MS","HRD",924.
"marsh","SC11M!","2n213!","N","N","usually salt water","mﬁ∫{∞}Û","MS","CNV",924.
"marsh","SC11A","213.1(*)","N","N","salt water","mµæ∫{∞}Û","MS",-0-,925.
"salt marsh","SC11A","213.1(*)","O","N",-0-,"Âs∑º∫{∞}lt$ımµæ∫{∞}Û","MS",-0-,925.
"marsh","SC11A","213.1(*)","N","N","salt water","mﬁº∫{∞}Û","MS",-0-,925.
"marsh","SC11A","213.1(*)","N","Y",-0-,"mµº∫Û","MS","AUX",925.
"salt marsh","SC11A","213.1(*)","O","N",-0-,"Âs∑º∫{∞}lt$ımﬁ∫{∞}Û","MS",-0-,925.
"marsh","SC11B","213.11","N","N","by the ocean","mµæ∫∞Û","MS",-0-,926.
"marsh","SC11C","213.2","N","N","salt water","mﬁ∫{∞}Û","MS",-0-,927.
"marsh land","SC11C","213.2","O","N","salt water","Âmﬁ∫{∞}Û$ıl·´∫{∞}n","MS",-0-,927.
"muck land","SC11C","213.2","O","N","salt water","Âm∏Ωºk$ıl·∫{∞}n","MS",-0-,927.
"marsh","SC11D","213.3","N","N",-0-,"mﬁ∫{∞}Û","MS",-0-,928.
"salt water","SC11D","213.3","O","Y",-0-,"Âs∂îlt$ıw∑º∫{∞}tê∞´æ","MS","INA",928.
